0,1,2,3,4,5,6,7,8,9,10
6.1,0.99967,1.9968,2.9865,3.9364,4.7069,5.3869,5.6011,6.0146,6.0893,6.4356
6.2,0.99967,1.9968,2.9924,3.9298,4.6961,5.3603,5.5397,5.949,6.0262,6.3376
6.3,0.99967,1.9968,2.9924,3.9298,4.6895,5.3446,5.4708,5.8809,5.9889,6.2546
6.4,0.99967,1.9968,2.9924,3.9281,4.6629,5.308,5.4168,5.8394,5.9266,6.1915
6.5,0.99967,1.9968,2.9924,3.9206,4.6513,5.2732,5.3595,5.7705,5.8718,6.1259
6.6,0.99967,1.9968,2.9924,3.9206,4.6297,5.2516,5.3155,5.7265,5.8178,6.0586
6.7,0.99967,1.9968,2.9957,3.9082,4.6064,5.2283,5.2607,5.6667,5.7763,5.9723
6.8,0.99967,1.9968,2.9957,3.9007,4.5965,5.1976,5.2109,5.6086,5.7199,5.9075
6.9,0.99967,1.9968,2.9957,3.8932,4.5857,5.1636,5.1661,5.5771,5.6817,5.8361
7,0.99967,1.9968,2.9957,3.8932,4.5508,5.1378,5.1378,5.5123,5.6169,5.7722
7.1,0.99967,1.996,2.9957,3.8932,4.5475,5.1054,5.0988,5.4484,5.5613,5.6883
7.2,0.99967,1.996,2.9816,3.8874,4.5226,5.0739,5.0639,5.3969,5.5264,5.6161
7.3,0.99967,1.996,2.9816,3.8741,4.496,5.0598,5.0108,5.3446,5.4832,5.5488
7.4,0.99967,1.996,2.9816,3.8741,4.4877,5.0515,5.0017,5.2906,5.4475,5.4716
7.5,0.99967,1.996,2.9816,3.8691,4.4678,5.0199,4.9817,5.2192,5.4201,5.4093
7.6,0.99967,1.996,2.9832,3.8642,4.4587,4.9934,4.9261,5.1685,5.3844,5.3753
7.7,0.99967,1.996,2.9832,3.8642,4.4163,4.9626,4.8912,5.1353,5.3479,5.3412
7.8,0.99967,1.996,2.9832,3.8542,4.3889,4.9294,4.8605,5.088,5.2898,5.2732
7.9,0.99967,2.0002,2.9832,3.8442,4.3723,4.8995,4.8447,5.0316,5.2798,5.2225
8,0.99967,2.0002,2.9882,3.8351,4.3532,4.8655,4.8065,4.9975,5.2408,5.1503
8.1,0.99967,2.0002,2.9882,3.8351,4.3324,4.8373,4.7767,4.9601,5.1876,5.0839
8.2,0.99967,2.0002,2.9882,3.8227,4.3142,4.814,4.7277,4.9427,5.1304,5.0581
8.3,0.99967,2.0002,2.9882,3.806,4.2934,4.7957,4.7077,4.9195,5.0947,5.0224
8.4,0.99967,2.0002,2.9882,3.8177,4.2801,4.7833,4.6895,4.897,5.0639,4.9718
8.5,0.99967,2.0002,2.9766,3.8177,4.2494,4.7692,4.6554,4.863,5.0191,4.9294
8.6,0.99967,2.0002,2.9766,3.8069,4.2212,4.7509,4.623,4.8489,4.9768,4.8904
8.7,0.99967,2.0002,2.9766,3.7919,4.2162,4.7326,4.599,4.829,4.9253,4.8547
8.8,0.99967,2.0002,2.9766,3.7836,4.2013,4.6903,4.5956,4.8074,4.9053,4.819
8.9,0.99967,2.0002,2.9766,3.7886,4.1913,4.6695,4.5691,4.8074,4.8763,4.775
9,0.99967,2.0002,2.9766,3.777,4.1755,4.6803,4.5417,4.7899,4.8597,4.7642
9.1,0.99967,2.0002,2.9741,3.772,4.1564,4.6654,4.5135,4.7659,4.8265,4.7285
9.2,0.99967,2.0002,2.9741,3.7753,4.1481,4.6372,4.4894,4.7708,4.8256,4.6862
9.3,0.99967,2.0002,2.9741,3.7712,4.1323,4.6372,4.4753,4.7625,4.7933,4.6654
9.4,0.99967,2.0002,2.9741,3.7712,4.1274,4.6164,4.4396,4.7326,4.7559,4.6504
9.5,0.99967,1.9968,2.9741,3.767,4.1216,4.5691,4.4321,4.7177,4.7493,4.6147
9.6,0.99967,1.9968,2.9733,3.7579,4.1033,4.5516,4.4063,4.6704,4.7302,4.5965
9.7,0.99967,1.9968,2.9733,3.7504,4.1008,4.5433,4.3798,4.6637,4.7069,4.5882
9.8,0.99967,1.9968,2.9733,3.7363,4.1033,4.5226,4.359,4.6413,4.6862,4.555
9.9,0.99967,1.9968,2.9733,3.728,4.0875,4.4985,4.3383,4.6172,4.6646,4.545
10,0.99967,1.9968,2.9733,3.7247,4.0751,4.4811,4.3275,4.6106,4.6546,4.496
10.1,0.99967,1.9968,2.9691,3.7247,4.0643,4.4719,4.3001,4.6197,4.6255,4.4744
10.2,0.99967,1.9968,2.9691,3.7147,4.0643,4.447,4.286,4.5658,4.6015,4.4919
10.3,0.99967,1.9968,2.9691,3.7131,4.0418,4.4221,4.286,4.5616,4.5699,4.4952
10.4,0.99967,1.9968,2.9691,3.7031,4.0327,4.3789,4.2776,4.5525,4.5766,4.4744
10.5,0.99967,1.9968,2.9691,3.7023,4.0286,4.3549,4.2843,4.5176,4.5624,4.4861
10.6,0.99967,1.9968,2.9691,3.6973,4.0236,4.3275,4.2727,4.5151,4.535,4.4885
10.7,0.99967,1.9968,2.9691,3.6964,4.0103,4.3324,4.2735,4.5151,4.5209,4.4869
10.8,0.99967,1.9968,2.9733,3.6682,4.0045,4.3175,4.2519,4.5035,4.501,4.4844
10.9,0.99967,1.9968,2.9733,3.6682,3.9954,4.3017,4.2411,4.501,4.496,4.4919
11,0.99967,1.9968,2.9733,3.6558,4.007,4.2776,4.2361,4.4728,4.4927,4.4686
11.1,0.99967,1.9968,2.9733,3.6583,4.0103,4.2635,4.2162,4.4694,4.4703,4.462
11.2,0.99967,1.9968,2.9733,3.6541,4.0086,4.2486,4.217,4.4686,4.4694,4.4495
11.3,0.99967,1.9968,2.9733,3.6533,4.0028,4.2469,4.2038,4.4661,4.4653,4.4387
11.4,0.99967,1.9968,2.9733,3.6425,4.0003,4.2295,4.1988,4.4246,4.467,4.4354
11.5,0.99967,1.9968,2.9733,3.6416,3.9887,4.2137,4.1979,4.4196,4.4719,4.4437
11.6,0.99967,1.9968,2.9733,3.6192,3.9862,4.2195,4.178,4.4271,4.4728,4.457
11.7,0.99967,1.9968,2.9791,3.625,3.9854,4.2112,4.183,4.4072,4.4694,4.4553
11.8,0.99967,1.9968,2.9791,3.6176,3.9812,4.2038,4.173,4.408,4.4686,4.4553
11.9,0.99967,1.9968,2.9791,3.6142,3.9879,4.1747,4.1681,4.3939,4.4611,4.462
12,0.99967,1.9968,2.9791,3.6059,3.9862,4.1755,4.1373,4.3955,4.4487,4.457
12.1,0.99967,1.9968,2.9791,3.6076,3.9821,4.1722,4.1274,4.4022,4.4537,4.4437
12.2,0.99967,1.9968,2.9791,3.6059,3.9754,4.1689,4.1307,4.3947,4.4362,4.442
12.3,0.99967,1.9968,2.9791,3.5952,3.9729,4.1747,4.1307,4.4005,4.4337,4.4653
12.4,0.99967,1.9968,2.9758,3.5976,3.9721,4.1689,4.1315,4.4097,4.4512,4.452
12.5,0.99967,1.9968,2.9758,3.5952,3.9704,4.1548,4.1407,4.4279,4.4487,4.442
12.6,0.99967,1.9968,2.9758,3.6018,3.9638,4.1631,4.1232,4.447,4.4313,4.4379
12.7,0.99967,1.9968,2.9758,3.5885,3.9605,4.1664,4.1265,4.457,4.4238,4.4487
12.8,0.99967,1.9968,2.9758,3.5744,3.9572,4.1871,4.1257,4.4595,4.4221,4.4636
12.9,0.99967,1.9968,2.9758,3.5769,3.9422,4.188,4.1315,4.4445,4.4337,4.4628
13,0.99967,1.9968,2.9583,3.5819,3.9356,4.1863,4.129,4.4595,4.4404,4.457
13.1,0.99967,1.9968,2.9583,3.5794,3.9198,4.1896,4.1191,4.4545,4.4304,4.4495
13.2,0.99967,1.9968,2.9583,3.5669,3.914,4.1797,4.1216,4.4454,4.4412,4.4445
13.3,0.99967,1.9968,2.9583,3.5686,3.9015,4.1805,4.1124,4.442,4.4512,4.4553
13.4,0.99967,1.9968,2.9583,3.5578,3.9132,4.1589,4.1257,4.4445,4.4628,4.4636
13.5,0.99967,1.9968,2.9525,3.5578,3.909,4.1448,4.1373,4.4387,4.4454,4.4636
13.6,0.99967,1.9968,2.9525,3.5561,3.904,4.1597,4.1249,4.4479,4.4587,4.462
13.7,0.99967,1.9977,2.9525,3.5428,3.8941,4.1622,4.1041,4.4288,4.4686,4.4927
13.8,0.99967,1.9977,2.9525,3.5379,3.8808,4.1622,4.1091,4.4371,4.462,4.4769
13.9,0.99967,1.9977,2.9459,3.5445,3.8733,4.1639,4.1066,4.4537,4.4661,4.4587
14,0.99967,1.9977,2.9459,3.537,3.8675,4.1647,4.144,4.4254,4.4711,4.4495
14.1,0.99967,1.9977,2.9459,3.5312,3.8575,4.1697,4.1431,4.4163,4.4636,4.4545
14.2,0.99967,1.9977,2.9467,3.5354,3.8492,4.1614,4.1539,4.4246,4.4894,4.4437
14.3,0.99967,1.9977,2.9467,3.5296,3.8476,4.173,4.1589,4.4296,4.4944,4.4462
14.4,0.99967,1.9977,2.9467,3.5196,3.8492,4.1631,4.1672,4.4271,4.4919,4.4462
14.5,0.99967,1.9977,2.9467,3.5188,3.8343,4.1664,4.1722,4.4155,4.5118,4.4429
14.6,0.99967,1.9977,2.9425,3.5163,3.8235,4.1689,4.1705,4.4205,4.5301,4.4412
14.7,0.99967,1.9977,2.9425,3.4972,3.8135,4.1714,4.1905,4.4288,4.5242,4.4371
14.8,0.99967,1.9977,2.9425,3.5005,3.8102,4.1764,4.2046,4.4246,4.5242,4.4487
14.9,0.99967,1.9977,2.9425,3.4939,3.806,4.1772,4.2145,4.4337,4.535,4.4611
15,0.99967,1.9977,2.9425,3.4939,3.8069,4.1639,4.217,4.4528,4.5508,4.4753
15.1,0.99967,1.9977,2.9484,3.4806,3.8102,4.1564,4.2029,4.4711,4.5475,4.4645
15.2,0.99967,1.9977,2.9484,3.4739,3.7969,4.1357,4.193,4.4777,4.5541,4.4603
15.3,0.99967,1.9977,2.9484,3.4797,3.7853,4.1274,4.1921,4.4852,4.5583,4.4703
15.4,0.99967,1.9977,2.9484,3.4864,3.7894,4.1116,4.193,4.5118,4.5649,4.4678
15.5,0.99967,1.9977,2.9484,3.4872,3.7778,4.1265,4.2096,4.5168,4.5658,4.4645
15.6,0.99967,1.9977,2.9583,3.4955,3.7795,4.1382,4.2137,4.5301,4.5766,4.4977
15.7,0.99967,1.9977,2.9583,3.4723,3.7861,4.134,4.2046,4.5508,4.5965,4.5076
15.8,0.99967,1.9977,2.9583,3.4764,3.7928,4.1382,4.2154,4.5749,4.6164,4.5292
15.9,0.99967,1.9977,2.9583,3.4673,3.7961,4.139,4.2104,4.5923,4.6123,4.545
16,0.99967,1.9977,2.9583,3.4665,3.782,4.1224,4.2228,4.6172,4.6197,4.5616
16.1,0.99967,1.9977,2.9583,3.4465,3.7795,4.1207,4.2361,4.6438,4.6314,4.5799
16.2,0.99967,1.9977,2.9525,3.4424,3.777,4.1166,4.2312,4.6729,4.6222,4.5782
16.3,0.99967,1.9977,2.9525,3.449,3.7778,4.1182,4.2395,4.6745,4.623,4.5973
16.4,0.99967,1.9977,2.9525,3.4482,3.7645,4.1315,4.2262,4.6745,4.6114,4.6081
16.5,0.99967,1.9977,2.9525,3.4548,3.7604,4.1448,4.237,4.6787,4.6106,4.6322
16.6,0.99967,1.9977,2.9525,3.4565,3.7496,4.1407,4.2395,4.6762,4.6239,4.6297
16.7,0.99967,1.9977,2.9558,3.449,3.7438,4.1249,4.2262,4.6837,4.6255,4.6197
16.8,0.99967,1.9977,2.9558,3.4499,3.7521,4.1216,4.2353,4.6762,4.643,4.6189
16.9,0.99967,1.9977,2.9558,3.4382,3.7546,4.1191,4.2262,4.6911,4.6521,4.6255
17,0.99967,1.9977,2.9558,3.4407,3.7662,4.1091,4.2386,4.7036,4.6828,4.6264
17.1,0.99967,1.9977,2.9558,3.4399,3.7587,4.1182,4.2378,4.6986,4.6945,4.633
17.2,0.99967,1.9977,2.9525,3.4374,3.7546,4.1249,4.2361,4.7086,4.7052,4.6588
17.3,0.99967,1.9977,2.9525,3.4316,3.7587,4.1282,4.2245,4.7003,4.7003,4.6538
17.4,0.99967,1.9977,2.9525,3.4291,3.7629,4.1249,4.2436,4.7094,4.7119,4.6554
17.5,0.99967,1.9977,2.9525,3.4266,3.7454,4.1423,4.2444,4.7061,4.6986,4.6687
17.6,0.99967,1.9977,2.9525,3.4308,3.7438,4.1431,4.2519,4.6969,4.6953,4.6588
17.7,0.99967,1.9977,2.95,3.4332,3.7446,4.1348,4.2644,4.6961,4.7003,4.6596
17.8,0.99967,1.9977,2.95,3.4291,3.7463,4.1431,4.266,4.6945,4.7102,4.6671
17.9,0.99967,1.9977,2.95,3.4274,3.7546,4.1531,4.2577,4.7044,4.7019,4.6754
