0,1,2,3,4,5,6,7,8,9,10
6,0.99386,1.8532,2.2634,2.6063,2.7848,2.5905,2.8014,2.818,3.1493,3.0746
6.1,0.99386,1.8408,2.2318,2.5847,2.7283,2.5249,2.7441,2.7159,3.0588,3.0198
6.2,0.99386,1.8408,2.2019,2.544,2.676,2.4942,2.6901,2.6561,2.9782,2.9691
6.3,0.99386,1.8366,2.1787,2.4759,2.6295,2.4552,2.6304,2.598,2.9276,2.896
6.4,0.99386,1.8258,2.1521,2.4369,2.5797,2.4136,2.5772,2.5531,2.8388,2.8379
6.5,0.98638,1.8134,2.1056,2.3896,2.5291,2.3647,2.5349,2.495,2.7898,2.7898
6.6,0.98638,1.8017,2.0832,2.3539,2.4701,2.2982,2.4867,2.456,2.7391,2.7375
6.7,0.98638,1.7943,2.05,2.3124,2.4186,2.2576,2.4352,2.4294,2.6802,2.6818
6.8,0.98638,1.7943,2.0334,2.2609,2.3605,2.2268,2.3987,2.3912,2.6312,2.6495
6.9,0.98638,1.7884,2.0151,2.2426,2.3265,2.1886,2.358,2.3281,2.5913,2.5747
7,0.98638,1.776,1.9877,2.2044,2.2775,2.1421,2.3132,2.2974,2.5307,2.5133
7.1,0.98638,1.761,1.9744,2.1646,2.2318,2.1106,2.2733,2.2559,2.4701,2.4734
7.2,0.98638,1.7644,1.9462,2.1164,2.2061,2.0757,2.2219,2.2036,2.4477,2.4161
7.3,0.97891,1.7586,1.9196,2.0981,2.1671,2.0334,2.1837,2.1538,2.4045,2.3622
7.4,0.97891,1.7469,1.8922,2.0433,2.1272,2.0002,2.1571,2.1206,2.3713,2.324
7.5,0.97891,1.7303,1.8665,2.0176,2.1098,1.9661,2.1314,2.0915,2.329,2.2833
7.6,0.97891,1.7087,1.8316,1.9993,2.0658,1.9354,2.0857,2.0367,2.2841,2.2559
7.7,0.97891,1.6946,1.8125,1.962,2.0259,1.9122,2.0409,2.0085,2.2351,2.221
7.8,0.98223,1.6813,1.7918,1.9288,1.9902,1.8872,1.9894,1.9919,2.2077,2.1845
7.9,0.98223,1.6564,1.7536,1.8914,1.9404,1.874,1.9645,1.9686,2.1687,2.128
8,0.98223,1.6481,1.7461,1.8557,1.9088,1.8491,1.9445,1.9362,2.1355,2.104
8.1,0.98223,1.634,1.732,1.8275,1.8723,1.7959,1.9047,1.9254,2.0973,2.0649
8.2,0.98223,1.624,1.7129,1.7976,1.8457,1.7768,1.8939,1.8897,2.0782,2.0417
8.3,0.98223,1.6207,1.6963,1.7768,1.8324,1.7619,1.8532,1.8648,2.0541,1.9935
8.4,0.98223,1.6124,1.6797,1.7478,1.8001,1.7395,1.8341,1.8449,2.0325,1.952
8.5,0.97476,1.6116,1.6514,1.7287,1.7909,1.7262,1.82,1.8283,2.0068,1.9387
8.6,0.97476,1.6091,1.639,1.7054,1.7768,1.7062,1.786,1.8092,1.9703,1.9022
8.7,0.97476,1.59,1.6207,1.6988,1.7577,1.6797,1.7727,1.7967,1.9296,1.8715
8.8,0.97476,1.5925,1.6274,1.6647,1.7262,1.6656,1.7444,1.7743,1.908,1.8432
8.9,0.97476,1.585,1.6049,1.639,1.7154,1.649,1.7287,1.7395,1.8831,1.8134
9,0.97476,1.5726,1.5925,1.6166,1.6938,1.6398,1.7145,1.727,1.8731,1.7934
9.1,0.97476,1.5576,1.5875,1.5983,1.6888,1.6199,1.6921,1.7187,1.8358,1.7461
9.2,0.97476,1.5468,1.5759,1.5784,1.6747,1.6091,1.6938,1.7038,1.8017,1.7179
9.3,0.9731,1.5327,1.5543,1.5784,1.649,1.5809,1.6681,1.6988,1.7909,1.693
9.4,0.9731,1.5286,1.5244,1.556,1.6216,1.5643,1.6523,1.6863,1.7552,1.6556
9.5,0.9731,1.5269,1.5086,1.5443,1.6108,1.5468,1.6573,1.6705,1.7519,1.6415
9.6,0.9731,1.5203,1.5028,1.5286,1.5784,1.5311,1.6514,1.6431,1.7444,1.6299
9.7,0.9731,1.5219,1.4804,1.5227,1.5543,1.5136,1.6257,1.6249,1.7336,1.5991
9.8,0.9731,1.5203,1.463,1.5153,1.5493,1.4887,1.6049,1.5983,1.717,1.5767
9.9,0.9731,1.4962,1.4621,1.5003,1.5327,1.4995,1.5958,1.5834,1.6955,1.5593
10,0.97144,1.4954,1.443,1.4895,1.5211,1.4912,1.58,1.5842,1.6764,1.5477
10.1,0.97144,1.4895,1.4273,1.4779,1.512,1.4796,1.5626,1.5609,1.6548,1.5335
10.2,0.97144,1.4821,1.4322,1.4472,1.5003,1.458,1.5568,1.5477,1.6199,1.5385
10.3,0.97144,1.4738,1.4248,1.4381,1.4887,1.4447,1.5485,1.5335,1.5883,1.5311
10.4,0.97144,1.4464,1.4256,1.4306,1.4796,1.4372,1.5269,1.5095,1.5792,1.5211
10.5,0.97144,1.4406,1.4223,1.4347,1.4505,1.4215,1.5178,1.4978,1.5477,1.4895
10.6,0.97144,1.4406,1.4048,1.4306,1.4356,1.4115,1.5136,1.4821,1.5394,1.492
10.7,0.96314,1.4198,1.3941,1.4206,1.4356,1.399,1.5012,1.4721,1.5244,1.4796
10.8,0.96314,1.4165,1.3858,1.4181,1.443,1.3924,1.497,1.4696,1.5327,1.4704
10.9,0.96314,1.4231,1.3816,1.4032,1.4347,1.3824,1.4729,1.4455,1.5153,1.4489
11,0.96314,1.4148,1.3691,1.4048,1.4264,1.4032,1.463,1.4464,1.5028,1.4298
11.1,0.96314,1.4098,1.36,1.3941,1.4165,1.3916,1.4638,1.458,1.502,1.4132
11.2,0.96314,1.3999,1.3534,1.3808,1.4123,1.3949,1.4588,1.443,1.4937,1.4148
11.3,0.98057,1.3932,1.355,1.3691,1.4098,1.3982,1.4455,1.4414,1.497,1.3932
11.4,0.98057,1.3932,1.3509,1.37,1.3949,1.4073,1.414,1.4439,1.4688,1.3833
11.5,0.98057,1.3982,1.331,1.3625,1.3849,1.4065,1.4007,1.4439,1.4779,1.3899
11.6,0.98057,1.3999,1.3268,1.3534,1.375,1.3916,1.3941,1.4364,1.4796,1.3841
11.7,0.98057,1.3816,1.3102,1.3476,1.3625,1.3874,1.3824,1.4215,1.4663,1.3824
