0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7
0,0.99967,0.99967,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9998,2.9998,2.9998,2.9998,2.9998,4.0003,4.0003,4.0003,4.0003,4.0003,5,5,5,5,5,5.9997,5.9997,5.9997,5.9997,5.9997,7.0002,7.0002,7.0002,7.0002,7.0002
0.1,0.99967,0.99967,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9998,2.9998,2.9998,2.9998,2.9998,4.0003,4.0003,4.0003,4.0003,4.0003,5,5,5,5,5,5.9997,5.9997,5.9997,5.9997,5.9997,7.0002,7.0002,7.0002,7.0002,7.0002
0.2,0.99967,0.99967,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9998,2.9998,2.9998,2.9998,2.9998,4.0003,4.0003,3.9987,4.0003,4.0003,5,5,5,5,5,5.9997,5.9997,5.998,5.9997,5.9997,6.9977,7.0002,6.9985,7.0002,7.0002
0.3,0.99967,0.99801,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9998,2.9998,2.9965,2.9998,2.9973,3.9987,4.0003,4.0003,4.0003,4.0003,5,4.9983,4.9983,5,5,5.9997,5.9997,5.9972,5.9997,5.9997,6.996,6.9985,6.9985,7.0002,6.9985
0.4,0.99967,0.99801,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9982,2.9998,2.9957,2.9998,2.9982,3.9987,4.0003,4.0003,4.0003,4.0003,5,4.9975,4.9983,4.9983,5,5.9972,5.9997,5.9963,5.9997,5.998,6.9944,6.9968,6.9935,6.9977,6.9935
0.5,0.99967,0.99801,0.99967,0.99967,0.99967,2.0002,2.0002,2.0002,2.0002,2.0002,2.9957,2.9998,2.9973,2.9982,2.9998,3.9978,3.997,4.0003,3.9987,4.0003,4.9983,4.9942,4.9958,4.9917,5,5.9972,5.9997,5.9963,5.9997,5.9914,6.9952,6.9935,6.9885,6.9894,6.9894
0.6,0.99967,0.99801,0.99967,0.99967,0.99967,2.0002,2.0002,1.9985,2.0002,1.9985,2.9957,2.9998,2.9982,2.9982,2.9982,3.9945,3.9987,4.0003,3.9978,3.9987,4.9983,4.9842,4.9934,4.99,5,5.993,5.9972,5.9955,5.9997,5.9897,6.9927,6.9836,6.9761,6.9777,6.9819
0.7,0.99967,0.99967,0.99967,0.99967,0.99967,2.0002,2.0002,1.9985,2.0002,1.9968,2.9957,2.9998,2.9982,2.9982,2.9982,3.9912,3.9945,3.9987,3.997,3.9978,4.9983,4.9784,4.9917,4.9817,4.9975,5.9922,5.998,5.9889,5.998,5.988,6.9819,6.9711,6.9653,6.9661,6.957
0.8,0.99967,0.99967,0.99967,0.99967,0.99801,1.9985,1.9985,2.0002,1.9977,1.9944,2.9957,2.9998,2.994,2.9965,2.9932,3.9862,3.9854,3.9954,3.9937,3.997,4.9967,4.9743,4.9867,4.9792,4.9925,5.9822,5.9905,5.9698,5.9963,5.9839,6.9703,6.9503,6.9462,6.9487,6.9271
