0,1,2,3,4,5,6,7
8.3,0.98472,1.8798,1.9462,2.1089,2.2957,1.8615,1.9221
8.4,0.98472,1.8798,1.9238,2.0774,2.27,1.825,1.8864
8.5,0.98472,1.8565,1.9055,2.0575,2.2434,1.7918,1.8557
8.6,0.98472,1.8565,1.8989,2.0226,2.1969,1.7635,1.8308
8.7,0.98472,1.8532,1.8798,2.0002,2.1778,1.7428,1.8084
8.8,0.98472,1.8532,1.8748,1.9819,2.1604,1.7262,1.781
8.9,0.98472,1.8432,1.8615,1.9653,2.1388,1.7112,1.7287
9,0.98472,1.8432,1.8474,1.9528,2.0973,1.688,1.6888
9.1,0.98472,1.8258,1.8383,1.9362,2.0865,1.6539,1.6681
9.2,0.98472,1.8258,1.83,1.9263,2.0716,1.6365,1.6473
9.3,0.98472,1.8258,1.8258,1.9146,2.0575,1.6315,1.629
9.4,0.98472,1.8134,1.7992,1.8756,2.0367,1.5966,1.6274
9.5,0.98472,1.8134,1.771,1.8598,2.0143,1.5859,1.5925
9.6,0.98472,1.8067,1.7669,1.8515,1.991,1.5717,1.5742
9.7,0.98472,1.8067,1.7586,1.83,1.9703,1.5709,1.5809
9.8,0.98472,1.8067,1.7453,1.8092,1.9479,1.5551,1.5618
9.9,0.98472,1.8026,1.7287,1.7976,1.9254,1.5452,1.5418
10,0.98472,1.8026,1.7137,1.776,1.9171,1.5269,1.5095
10.1,0.98472,1.7884,1.6863,1.7536,1.9005,1.5186,1.4895
10.2,0.98472,1.7884,1.6797,1.7469,1.8781,1.497,1.4713
10.3,0.98472,1.7702,1.6805,1.727,1.8532,1.4779,1.463
10.4,0.98472,1.7702,1.6788,1.7154,1.8233,1.4704,1.4455
10.5,0.98472,1.7702,1.6647,1.7104,1.81,1.4646,1.4406
10.6,0.98472,1.7577,1.6622,1.7062,1.7984,1.4605,1.4497
10.7,0.98472,1.7577,1.6548,1.6938,1.7793,1.4472,1.4281
10.8,0.98472,1.7527,1.6465,1.6705,1.7652,1.4555,1.4156
10.9,0.98472,1.7527,1.629,1.6564,1.7577,1.4513,1.4165
11,0.98472,1.737,1.6224,1.6465,1.7586,1.4347,1.3949
11.1,0.98472,1.737,1.6108,1.6199,1.7336,1.4148,1.3833
11.2,0.97393,1.7179,1.5775,1.6074,1.722,1.4156,1.3683
11.3,0.97393,1.7179,1.5742,1.5933,1.7154,1.404,1.3675
11.4,0.97393,1.7079,1.5601,1.5825,1.7021,1.3858,1.3625
11.5,0.97393,1.7079,1.5659,1.58,1.683,1.3766,1.36
11.6,0.97393,1.7038,1.5751,1.5809,1.6772,1.36,1.3525
11.7,0.97393,1.6946,1.5601,1.5759,1.6531,1.3542,1.3492
11.8,0.97393,1.6946,1.5543,1.551,1.6539,1.35,1.3426
11.9,0.97393,1.6871,1.551,1.5311,1.6423,1.3542,1.3459
12,0.97393,1.6714,1.5352,1.5261,1.6257,1.3393,1.3384
12.1,0.97393,1.6656,1.5294,1.4987,1.6323,1.3393,1.3235
12.2,0.97393,1.6656,1.5161,1.4862,1.6207,1.3542,1.3135
12.3,0.97393,1.6498,1.5111,1.4787,1.6257,1.3434,1.3135
12.4,0.97393,1.6506,1.5045,1.4754,1.6191,1.3417,1.3193
12.5,0.97393,1.6506,1.5028,1.4696,1.6182,1.36,1.3268
12.6,0.97393,1.6407,1.4945,1.4787,1.595,1.36,1.3177
12.7,0.97393,1.6265,1.492,1.4821,1.5859,1.3542,1.3168
12.8,0.97393,1.6249,1.4862,1.4646,1.5767,1.3625,1.3251
12.9,0.97393,1.6249,1.4821,1.4522,1.5684,1.3584,1.3334
13,0.97393,1.6091,1.4787,1.4563,1.5568,1.3509,1.3193
13.1,0.97393,1.6091,1.4729,1.458,1.5543,1.3409,1.3127
13.2,0.97393,1.6016,1.463,1.4688,1.5526,1.3218,1.3218
13.3,0.9922,1.5983,1.4796,1.4746,1.5535,1.3193,1.3343
13.4,0.9922,1.5983,1.4721,1.4605,1.5493,1.3235,1.3484
13.5,0.9922,1.5834,1.4655,1.4547,1.551,1.3193,1.3525
13.6,0.9922,1.5668,1.4638,1.4563,1.5352,1.3202,1.3592
13.7,0.9922,1.5668,1.4588,1.4489,1.5286,1.3285,1.3716
13.8,0.9922,1.5477,1.4555,1.4464,1.5203,1.3525,1.3891
13.9,0.9922,1.5477,1.463,1.4455,1.5103,1.365,1.3924
14,0.9922,1.5311,1.4605,1.4447,1.5103,1.3733,1.3907
14.1,0.9922,1.5153,1.453,1.4464,1.5153,1.3882,1.3899
14.2,0.9922,1.5153,1.4596,1.4472,1.5111,1.399,1.3924
14.3,0.9922,1.5061,1.453,1.4464,1.5045,1.3924,1.3882
14.4,0.9922,1.5061,1.4505,1.463,1.5003,1.3874,1.3799
14.5,0.9922,1.5061,1.4464,1.4779,1.5003,1.375,1.3849
14.6,0.9922,1.5095,1.4356,1.4704,1.5061,1.3667,1.3766
14.7,0.9922,1.5095,1.4281,1.4738,1.5012,1.3791,1.3766
14.8,0.9922,1.502,1.4206,1.4596,1.4978,1.3799,1.3725
14.9,0.9922,1.4904,1.4215,1.4613,1.4846,1.3808,1.3799
15,0.9922,1.4879,1.4281,1.463,1.4787,1.3791,1.3791
15.1,0.9922,1.4879,1.4215,1.4588,1.4696,1.3725,1.3941
15.2,0.9922,1.4837,1.4156,1.4522,1.4812,1.3783,1.3899
15.3,0.9922,1.4796,1.4107,1.4422,1.4688,1.3833,1.3907
