0,3.12
0,3.1202
0.1,3.1202
0.2,3.1202
0.3,3.1202
0.4,3.1202
0.5,3.1202
0.6,3.1186
0.7,3.1161
0.8,3.1144
0.9,3.1136
1,3.1078
1.1,3.1036
1.2,3.0978
1.3,3.0937
1.4,3.0854
1.5,3.082
1.6,3.0729
1.7,3.0646
1.8,3.0596
1.9,3.0463
2,3.0389
2.1,3.0389
2.2,3.0322
2.3,3.0164
2.4,3.0131
2.5,2.9998
2.6,2.9849
2.7,2.9716
2.8,2.9633
2.9,2.9508
3,2.9409
3.1,2.9185
3.2,2.8877
3.3,2.857
3.4,2.8205
3.5,2.7856
3.6,2.7416
3.7,2.7217
3.8,2.6818
3.9,2.6362
4,2.5963
4.1,2.5382
4.2,2.4917
4.3,2.4386
4.4,2.3912
4.5,2.3431
4.6,2.2841
4.7,2.2351
4.8,2.182
4.9,2.128
5,2.0956
5.1,2.04
5.2,1.9993
5.3,1.9462
5.4,1.8914
5.5,1.8349
5.6,1.7876
5.7,1.7312
5.8,1.6722
5.9,1.6348
6,1.5809
6.1,1.5435
6.2,1.5037
6.3,1.4605
6.4,1.4148
6.5,1.3866
6.6,1.3442
6.7,1.3127
6.8,1.282
6.9,1.2521
7,1.2396
7.1,1.2147
7.2,1.1989
7.3,1.1749
7.4,1.1549
7.5,1.1184
7.6,1.0952
7.7,1.0669
7.8,1.0462
7.9,1.013
8,0.99718
8.1,0.97061
8.2,0.95732
8.3,0.94072
8.4,0.92743
8.5,0.90917
8.6,0.8909
8.7,0.87845
8.8,0.8552
8.9,0.8444
9,0.82614
9.1,0.80289
9.2,0.79044
9.3,0.77549
9.4,0.75639
9.5,0.74311
9.6,0.73065
9.7,0.72567
9.8,0.72235
9.9,0.71654
10,0.71405
10.1,0.71073
10.2,0.70575
10.3,0.69412
10.4,0.68416
10.5,0.67419
10.6,0.66672
10.7,0.66589
10.8,0.65427
10.9,0.6551
11,0.64264
11.1,0.63268
11.2,0.61773
11.3,0.6169
11.4,0.61192
11.5,0.61026
11.6,0.60528
11.7,0.61192
11.8,0.60113
11.9,0.592
12,0.59366
12.1,0.58452
12.2,0.57207
12.3,0.58369
12.4,0.59449
12.5,0.58369
12.6,0.57954
12.7,0.57954
12.8,0.57705
12.9,0.57539
13,0.57456
13.1,0.56792
13.2,0.56211
13.3,0.55546
13.4,0.56211
13.5,0.5646
13.6,0.56792
13.7,0.55878
13.8,0.54135
13.9,0.53803
14,0.5455
14.1,0.53803
14.2,0.53886
14.3,0.54052
14.4,0.54052
14.5,0.55297
14.6,0.56211
14.7,0.55795
14.8,0.5455
14.9,0.5455
15,0.54633
