0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10
0,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,10
0.1,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,10
0.2,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,10
0.3,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,10
0.4,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,10
0.5,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,9.0003,10,9.9983
0.6,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,8.9978,10,9.9983
0.7,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998,9.0003,8.9978,10,9.9983
0.8,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9997,5.9997,7.0002,7.0002,7.9982,7.9998,9.0003,8.9978,10,9.9983
0.9,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9997,5.9997,7.0002,7.0002,7.9982,7.9998,8.9987,8.9978,9.9942,9.9983
1,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9997,5.9997,7.0002,6.9968,7.9982,7.9998,8.9987,8.9929,10,10
1.1,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9997,5.9997,7.0002,6.9968,7.9965,7.9965,8.9987,8.9929,10,10
1.2,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9972,5.9972,7.0002,6.9968,7.9965,7.9965,9.0003,8.9879,9.99,9.995
1.3,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9972,5.9972,7.0002,6.9977,7.9965,7.9965,9.0003,8.9879,9.99,9.995
1.4,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,4.9983,5,5.9972,5.9972,7.0002,6.9977,7.9965,7.994,8.9937,8.9787,9.9842,9.9784
1.5,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9967,4.9975,5.9972,5.9972,7.0002,6.9977,7.9965,7.994,8.9937,8.9787,9.9842,9.9784
1.6,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9967,4.9975,5.9997,5.9914,6.9952,6.9944,7.9816,7.9774,8.9771,8.9663,9.9643,9.9502
1.7,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9967,4.9975,5.9997,5.9914,6.9952,6.9944,7.9816,7.9774,8.9771,8.9663,9.9643,9.9502
1.8,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9967,4.9975,5.9997,5.9914,6.9952,6.9944,7.9816,7.9774,8.9771,8.9663,9.9477,9.9286
1.9,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9967,4.9975,5.9997,5.9914,6.9811,6.991,7.9666,7.9525,8.9522,8.9239,9.9477,9.9286
2,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9975,4.9975,5.9897,5.9947,6.9811,6.991,7.9666,7.9525,8.9522,8.9239,9.9477,9.9286
2.1,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,3.9987,3.9987,4.9975,4.995,5.9897,5.9947,6.9811,6.991,7.9666,7.9525,8.9273,8.8907,9.9186,9.9012
