5.7,1.2089,1.2786,1.2936,1.4513,1.3085,1.3251,1.2695,1.3019,1.1906
5.8,1.2056,1.2612,1.2869,1.4231,1.2861,1.3135,1.2429,1.272,1.1566
5.9,1.1923,1.2471,1.2745,1.3999,1.2479,1.2836,1.2131,1.2338,1.1242
6,1.1807,1.2305,1.2595,1.3625,1.2214,1.2604,1.169,1.1931,1.086
6.1,1.1773,1.2122,1.2496,1.3409,1.184,1.2297,1.1292,1.1624,1.0478
6.2,1.1674,1.1998,1.2405,1.2961,1.1516,1.2106,1.1076,1.1416,0.99801
6.3,1.1508,1.1948,1.2346,1.2703,1.1176,1.1848,1.0918,1.1184,0.96812
6.4,1.1325,1.1715,1.2214,1.2463,1.0844,1.1666,1.0545,1.1051,0.95234
6.5,1.1159,1.1674,1.2047,1.2056,1.0694,1.1475,1.0354,1.0893,0.91415
6.6,1.1018,1.1533,1.194,1.1732,1.052,1.1267,1.0179,1.0752,0.8909
6.7,1.091,1.1466,1.1848,1.14,1.037,1.1109,0.98721,1.0478,0.86931
6.8,1.0827,1.1325,1.1798,1.1201,1.0138,1.0902,0.97061,1.0237,0.84523
6.9,1.0719,1.1167,1.1666,1.0893,0.99386,1.0752,0.95981,0.99386,0.82033
7,1.0619,1.1126,1.1541,1.0694,0.97144,1.0545,0.94238,0.95981,0.80206
7.1,1.0545,1.0927,1.1441,1.0312,0.95898,1.0345,0.92826,0.92328,0.77632
7.2,1.037,1.0819,1.1375,1.0055,0.93574,1.0113,0.91249,0.91332,0.76304
7.3,1.0254,1.0661,1.1267,0.97642,0.90668,0.99884,0.89505,0.8826,0.74145
7.4,1.0188,1.0545,1.1184,0.94902,0.88675,0.97642,0.87845,0.85852,0.72733
7.5,1.003,1.0412,1.1109,0.92909,0.86267,0.93657,0.84773,0.83444,0.72152
7.6,0.99053,1.0354,1.0968,0.91581,0.8361,0.9183,0.8361,0.82199,0.70658
7.7,0.9814,1.0213,1.0827,0.89671,0.8278,0.90252,0.8195,0.79708,0.68333
7.8,0.97393,1.0071,1.0669,0.87845,0.8004,0.8718,0.8004,0.7813,0.66838
7.9,0.95732,0.98804,1.0561,0.86184,0.77798,0.85022,0.78794,0.77217,0.6717
8,0.94238,0.97808,1.0453,0.83776,0.76553,0.83693,0.77466,0.75805,0.6634
