0,1,2,3,4,5,6,7,8,9,10
6,0.9897,1.8989,2.2874,2.5125,2.6171,2.3041,2.7142,2.0218,2.138,1.7312
6.1,0.9897,1.8989,2.2675,2.4585,2.5673,2.2343,2.6328,1.9744,2.0583,1.6813
6.2,0.9897,1.8989,2.2559,2.4236,2.5158,2.182,2.554,1.9445,2.0051,1.6232
6.3,0.9897,1.8989,2.2559,2.3838,2.4668,2.1546,2.4593,1.9155,1.9429,1.5842
6.4,0.9897,1.8831,2.2451,2.3705,2.4319,2.0923,2.3887,1.8657,1.9047,1.5286
6.5,0.9897,1.8831,2.2343,2.3406,2.3854,2.0599,2.3273,1.8349,1.8615,1.4887
6.6,0.9897,1.8831,2.2293,2.3099,2.3414,2.0242,2.2609,1.7768,1.8183,1.4505
6.7,0.9897,1.8831,2.2293,2.2767,2.2924,1.9827,2.2136,1.7411,1.7893,1.4032
6.8,0.98306,1.864,2.2144,2.2476,2.2484,1.9653,2.1687,1.7054,1.7619,1.3791
6.9,0.98306,1.864,2.2036,2.2119,2.2044,1.9263,2.1164,1.6722,1.737,1.37
7,0.98306,1.864,2.1936,2.1837,2.1363,1.8607,2.0633,1.6382,1.6996,1.3417
7.1,0.98306,1.8466,2.1687,2.1729,2.0865,1.8233,2.0101,1.6,1.6681,1.3218
7.2,0.98306,1.8466,2.1546,2.1538,2.0624,1.7992,1.9836,1.5792,1.6307,1.3044
7.3,0.98306,1.8466,2.133,2.1222,2.0558,1.7519,1.9503,1.5551,1.6091,1.2845
7.4,0.98306,1.8466,2.1181,2.0932,2.0384,1.717,1.9304,1.5543,1.6033,1.2554
7.5,0.98306,1.8366,2.0948,2.0633,2.011,1.6955,1.8914,1.5211,1.5659,1.233
7.6,0.98306,1.8366,2.0815,2.0442,1.9653,1.6622,1.8474,1.5012,1.5501,1.223
7.7,0.98306,1.8366,2.0674,2.0425,1.942,1.6357,1.8175,1.4754,1.5227,1.2338
7.8,0.98306,1.8225,2.0633,2.0218,1.9122,1.6141,1.8026,1.4613,1.4954,1.2072
7.9,0.98306,1.8225,2.0409,1.9869,1.8731,1.5842,1.766,1.4563,1.4746,1.2205
8,0.98306,1.8134,2.0176,1.9653,1.8208,1.5717,1.7453,1.4439,1.463,1.2014
8.1,0.98306,1.8134,2.0101,1.9454,1.7934,1.5585,1.7137,1.4455,1.4497,1.2097
8.2,0.98306,1.8134,1.9944,1.9122,1.7793,1.5236,1.6764,1.4281,1.4231,1.1981
8.3,0.98306,1.8017,1.9827,1.9005,1.7627,1.5136,1.6506,1.3916,1.4264,1.1931
8.4,0.98306,1.8017,1.9678,1.8723,1.7253,1.4846,1.6182,1.3924,1.4331,1.1807
8.5,0.98306,1.8017,1.9545,1.8574,1.7071,1.4497,1.5792,1.3808,1.4098,1.1865
8.6,0.98306,1.7951,1.9229,1.8316,1.6797,1.4281,1.5601,1.3691,1.4073,1.1782
8.7,0.98306,1.7951,1.9196,1.8092,1.6456,1.4165,1.5468,1.355,1.3924,1.1682
