0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
0,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998
0.1,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998
0.2,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,4.9983,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998
0.3,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,4.9983,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998
0.4,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,4.9983,5.9997,5.9997,7.0002,7.0002,7.9998,7.9998
0.5,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,6.9985,7.9973,7.994
0.6,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.9997,5.9997,7.0002,6.9985,7.9973,7.994
0.7,0.99967,0.99967,2.0002,2.0002,2.9998,2.9998,4.0003,4.0003,5,5,5.998,5.9997,7.0002,6.9985,7.9907,7.9874
0.8,0.99967,0.99967,2.0002,2.0002,2.9973,2.9998,4.0003,4.0003,5,5,5.998,5.9997,6.9985,6.996,7.9907,7.9874
0.9,0.99967,0.99967,2.0002,2.0002,2.9973,2.9998,4.0003,4.0003,5,5,5.9889,5.998,6.9985,6.996,7.9733,7.9791
1,0.99967,0.99967,2.0002,2.0002,2.9973,2.9998,4.0003,3.9978,5,5,5.9889,5.998,6.9728,6.9885,7.9733,7.9791
1.1,0.99967,0.99967,2.0002,2.0002,2.9973,2.9998,4.0003,3.9978,5,4.9842,5.9889,5.998,6.9728,6.9885,7.955,7.9591
1.2,0.99967,0.99967,2.0002,2.0002,2.9973,2.9998,4.0003,3.9978,4.9809,4.9842,5.9681,5.9864,6.9728,6.9412,7.955,7.9591
1.3,0.99967,0.99967,1.9944,2.0002,2.9973,2.9998,4.0003,3.9978,4.9809,4.9842,5.9681,5.9864,6.9188,6.9412,7.9135,7.9185
1.4,0.99967,0.99967,1.9944,2.0002,2.994,2.9998,4.0003,3.9978,4.9809,4.9842,5.9681,5.9864,6.9188,6.9412,7.9135,7.9185
