0,1,2,3,4,5,6,7,8,9,10
6,0.94985,1.7386,1.5842,1.6548,1.3725,1.3525,1.3152,1.326,1.3152,1.4804
6.1,0.94985,1.7278,1.551,1.6025,1.3127,1.3002,1.2712,1.2961,1.2645,1.4206
6.2,0.94985,1.7004,1.5111,1.5684,1.2687,1.2463,1.2321,1.2454,1.2122,1.36
6.3,0.94985,1.6813,1.4688,1.5252,1.2297,1.2114,1.1832,1.2238,1.174,1.3343
6.4,0.93324,1.6813,1.4447,1.4912,1.1823,1.1807,1.1425,1.184,1.1192,1.2894
6.5,0.93324,1.6548,1.4198,1.4472,1.1358,1.1392,1.1234,1.1516,1.0736,1.2504
6.6,0.93324,1.6265,1.4032,1.3849,1.101,1.1043,1.086,1.1026,1.0304,1.1956
6.7,0.93324,1.6265,1.3733,1.3542,1.0744,1.0877,1.0644,1.0719,1.0096,1.1574
6.8,0.93324,1.6124,1.3301,1.3285,1.0387,1.0611,1.0121,1.037,0.95981,1.1109
6.9,0.93324,1.5966,1.3052,1.2836,1.0163,1.0428,0.98223,1.0213,0.94072,1.0727
7,0.93324,1.5784,1.2695,1.2396,0.98472,1.0088,0.9648,0.9623,0.90252,1.0536
7.1,0.93324,1.5684,1.2537,1.2072,0.96064,0.97974,0.94072,0.94985,0.87512,1.0204
7.2,0.91913,1.5684,1.2164,1.184,0.94072,0.94321,0.90086,0.92245,0.87263,0.99718
7.3,0.91913,1.5551,1.1857,1.1475,0.90335,0.91083,0.86682,0.89422,0.84939,0.97476
7.4,0.91913,1.5344,1.1666,1.1142,0.88924,0.88509,0.85603,0.88509,0.81534,0.94072
7.5,0.91913,1.5136,1.1383,1.0719,0.88675,0.86101,0.82448,0.86267,0.79459,0.92411
7.6,0.91913,1.4954,1.1084,1.0495,0.86848,0.8444,0.81285,0.85603,0.77715,0.90169
7.7,0.91913,1.4954,1.1026,1.0213,0.84856,0.82448,0.79874,0.82697,0.77715,0.87346
7.8,0.91913,1.4704,1.0736,1.0013,0.817,0.817,0.78379,0.80953,0.76968,0.85769
7.9,0.89837,1.4447,1.0362,0.98223,0.80455,0.7896,0.76968,0.78877,0.76137,0.85686
8,0.89837,1.4264,1.032,0.96147,0.78379,0.78379,0.7265,0.77549,0.74311,0.82614
8.1,0.89837,1.4098,0.99884,0.94072,0.76137,0.76221,0.71156,0.76054,0.73148,0.79791
8.2,0.89837,1.4098,0.98223,0.9266,0.75888,0.74228,0.70242,0.74062,0.7182,0.79293
8.3,0.89837,1.3907,0.96812,0.90668,0.73065,0.72318,0.68748,0.72235,0.7099,0.78379
8.4,0.88426,1.3667,0.93491,0.88509,0.71903,0.71903,0.6717,0.70159,0.70658,0.76304
8.5,0.88426,1.3559,0.91166,0.84856,0.71986,0.70409,0.65012,0.69246,0.70741,0.74643
8.6,0.88426,1.3442,0.89671,0.83527,0.69827,0.68831,0.64264,0.68665,0.70575,0.74892
8.7,0.88426,1.3442,0.86848,0.81119,0.69329,0.67835,0.64098,0.66838,0.69412,0.75722
8.8,0.86765,1.331,0.85769,0.78379,0.67918,0.66755,0.63849,0.65759,0.68333,0.7373
8.9,0.86765,1.3119,0.8552,0.76304,0.65759,0.65427,0.63683,0.64513,0.67336,0.73231
9,0.86765,1.3052,0.84689,0.74145,0.65427,0.636,0.63268,0.6468,0.66921,0.71903
9.1,0.86765,1.2977,0.83942,0.72899,0.65012,0.63434,0.61358,0.64098,0.66423,0.69329
9.2,0.85686,1.2977,0.82614,0.70824,0.62936,0.62438,0.61026,0.636,0.64264,0.68416
9.3,0.85686,1.2803,0.82531,0.69412,0.63434,0.61109,0.60445,0.63102,0.64513,0.6825
9.4,0.85686,1.2604,0.82199,0.68582,0.62355,0.60528,0.59615,0.60694,0.64347,0.67918
9.5,0.85686,1.2429,0.80538,0.67918,0.61524,0.60694,0.59781,0.6003,0.6443,0.65759
9.6,0.85686,1.2313,0.80289,0.66838,0.61026,0.59947,0.57539,0.59034,0.64846,0.65427
9.7,0.8552,1.2155,0.79376,0.6551,0.60694,0.59864,0.57041,0.59449,0.636,0.64763
9.8,0.8552,1.2006,0.76553,0.63268,0.59283,0.60445,0.56792,0.57207,0.64015,0.64181
9.9,0.8552,1.1873,0.75722,0.63185,0.58951,0.59781,0.56377,0.56709,0.63185,0.65593
10,0.8552,1.1773,0.72899,0.63268,0.592,0.59532,0.5646,0.57539,0.62272,0.63766
10.1,0.8552,1.1773,0.71654,0.63268,0.59117,0.58867,0.56875,0.57871,0.60445,0.63268
10.2,0.82946,1.1583,0.70907,0.62604,0.592,0.59532,0.57788,0.57871,0.59034,0.61857
10.3,0.82946,1.14,0.70575,0.61192,0.58951,0.57788,0.56792,0.5729,0.59117,0.61857
10.4,0.82946,1.1234,0.70076,0.60445,0.59698,0.56543,0.58618,0.56958,0.60196,0.6194
10.5,0.82946,1.1084,0.70325,0.60362,0.59532,0.56211,0.58203,0.55712,0.60196,0.63019
10.6,0.82946,1.0877,0.68582,0.59117,0.58867,0.56958,0.5729,0.55214,0.61358,0.63849
10.7,0.82033,1.0785,0.68001,0.57124,0.57954,0.57788,0.57041,0.55131,0.61773,0.6634
10.8,0.82033,1.0553,0.67087,0.56875,0.57954,0.58286,0.57954,0.55297,0.61524,0.6468
10.9,0.82033,1.0379,0.6717,0.56709,0.5812,0.57539,0.56792,0.55297,0.63102,0.63932
11,0.80787,1.0279,0.66755,0.55878,0.57954,0.57622,0.55214,0.56211,0.61275,0.63268
11.1,0.80787,1.0279,0.65676,0.55878,0.58286,0.58452,0.55214,0.55463,0.62272,0.63849
11.2,0.80787,1.0138,0.64596,0.55629,0.56626,0.59947,0.53803,0.53637,0.62438,0.6468
11.3,0.80787,0.98721,0.63849,0.55629,0.56958,0.61773,0.55629,0.54716,0.63185,0.65178
11.4,0.80123,0.97227,0.62521,0.55048,0.56709,0.62604,0.54882,0.54965,0.63849,0.63932
11.5,0.80123,0.95898,0.61607,0.54965,0.56377,0.62355,0.55629,0.54467,0.65012,0.65593
11.6,0.80123,0.94404,0.60362,0.53969,0.56045,0.62936,0.56045,0.56294,0.64264,0.64264
11.7,0.80123,0.94404,0.59698,0.54218,0.54882,0.64513,0.56377,0.55961,0.63683,0.63268
11.8,0.79708,0.93408,0.592,0.55961,0.55297,0.65095,0.55712,0.56128,0.61192,0.63268
11.9,0.79708,0.91747,0.5812,0.55048,0.5538,0.63683,0.55961,0.56211,0.62106,0.62355
12,0.79708,0.91249,0.5812,0.55795,0.54467,0.63766,0.56045,0.57456,0.63185,0.62189
12.1,0.79708,0.90252,0.57124,0.54965,0.53803,0.61773,0.55795,0.58618,0.62272,0.62521
12.2,0.7921,0.89256,0.57788,0.54882,0.53554,0.61773,0.54301,0.59449,0.63019,0.62604
12.3,0.7921,0.89256,0.56211,0.55297,0.53886,0.61192,0.54384,0.59034,0.60528,0.61441
12.4,0.7921,0.88177,0.5646,0.56626,0.54467,0.61441,0.54135,0.592,0.61607,0.61109
12.5,0.7921,0.8635,0.57539,0.56626,0.5455,0.61857,0.54301,0.592,0.6194,0.59781
12.6,0.7896,0.85935,0.57373,0.56045,0.55795,0.62438,0.54218,0.59034,0.62438,0.59698
12.7,0.7896,0.85271,0.57207,0.56294,0.55795,0.61607,0.56543,0.59283,0.63351,0.58951
12.8,0.7896,0.8444,0.56377,0.5646,0.5729,0.6169,0.56211,0.59781,0.63019,0.6003
12.9,0.79127,0.82863,0.56792,0.55961,0.5812,0.61109,0.56294,0.58618,0.6443,0.60196
13,0.79127,0.81866,0.57207,0.55629,0.58369,0.59283,0.54799,0.59781,0.62023,0.61441
13.1,0.79127,0.81866,0.57041,0.55463,0.57871,0.59947,0.55297,0.60279,0.62604,0.62687
13.2,0.78379,0.82116,0.56709,0.56045,0.57539,0.60528,0.54965,0.62189,0.61441,0.61773
13.3,0.78379,0.80538,0.56792,0.55546,0.57124,0.62687,0.56709,0.62936,0.60777,0.6468
13.4,0.78379,0.79542,0.57041,0.56128,0.58618,0.62189,0.56294,0.62936,0.62023,0.6277
13.5,0.77051,0.78047,0.56709,0.56128,0.58452,0.62438,0.58037,0.63102,0.62189,0.63102
13.6,0.77051,0.77549,0.55878,0.5729,0.58701,0.62023,0.58452,0.63434,0.6443,0.62604
13.7,0.77051,0.77134,0.56045,0.57041,0.58784,0.61607,0.58452,0.6468,0.65344,0.61109
13.8,0.75971,0.76719,0.56792,0.58037,0.592,0.62272,0.59117,0.64264,0.66838,0.60362
13.9,0.75971,0.76719,0.57124,0.58618,0.60196,0.62106,0.60445,0.65012,0.68582,0.61857
14,0.75971,0.76304,0.57207,0.59034,0.60528,0.63019,0.61441,0.67752,0.71903,0.6277
14.1,0.75888,0.76137,0.57622,0.58784,0.6194,0.63351,0.61026,0.66506,0.74892,0.6194
14.2,0.75888,0.75307,0.57456,0.60279,0.62189,0.64181,0.62936,0.66174,0.74643,0.63019
