0,2,3,4,5,6,7,8
0,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998
0.1,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998
0.2,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998
0.3,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9998
0.4,2.0002,2.9998,4.0003,5,5.9997,7.0002,7.9982
0.5,2.0002,2.9982,4.0003,5,5.9997,6.9985,7.9982
0.6,2.0002,2.9982,4.0003,5,5.998,7.0002,7.9982
0.7,2.0002,2.9965,4.0003,4.9983,5.9905,6.9985,7.9907
0.8,2.0002,2.9982,4.0003,4.9983,5.988,6.9894,7.9782
0.9,2.0002,2.9965,4.0003,4.9983,5.9897,6.9811,7.9666
1,1.9985,2.9982,3.992,4.9975,5.9856,6.9611,7.9533
1.1,1.9977,2.9982,3.9904,4.9934,5.9773,6.9512,7.9417
1.2,1.9977,2.9965,3.9804,4.9867,5.9582,6.9238,7.9068
1.3,1.9977,2.9957,3.9738,4.9768,5.9457,6.8806,7.8811
1.4,2.0002,2.994,3.9638,4.9693,5.9241,6.8366,7.8305
1.5,1.9985,2.9932,3.9547,4.9485,5.9075,6.786,7.7781
1.6,1.9977,2.9907,3.9489,4.9045,5.8593,6.722,7.7084
1.7,1.9968,2.9899,3.9414,4.8788,5.8228,6.6465,7.5722
1.8,1.9952,2.9915,3.9347,4.8414,5.7655,6.5883,7.4593
1.9,1.9952,2.989,3.9223,4.8074,5.7273,6.4929,7.3041
2,1.9952,2.9849,3.909,4.7559,5.6559,6.3774,7.0782
2.1,1.991,2.9849,3.8874,4.6837,5.6003,6.2654,6.9138
2.2,1.9844,2.9807,3.8584,4.638,5.499,6.1466,6.7021
2.3,1.9844,2.9733,3.8359,4.5575,5.4284,6.0246,6.4605
2.4,1.9844,2.9658,3.806,4.5068,5.3138,5.8635,6.2305
2.5,1.9769,2.9475,3.7869,4.4304,5.2059,5.6493,6.0105
2.6,1.9703,2.9367,3.7562,4.3532,5.1162,5.4824,5.7987
2.7,1.9728,2.9284,3.6973,4.2693,4.9743,5.3114,5.5986
2.8,1.9728,2.9151,3.6616,4.1647,4.868,5.1171,5.3662
2.9,1.9645,2.9052,3.6051,4.0692,4.7409,4.9485,5.1578
3,1.9611,2.8753,3.5487,3.9671,4.6056,4.7733,4.941
3.1,1.9611,2.8703,3.5038,3.865,4.4603,4.6255,4.785
3.2,1.9578,2.8504,3.4407,3.7845,4.3233,4.4645,4.5998
3.3,1.9429,2.8097,3.3784,3.6699,4.1722,4.315,4.4337
3.4,1.9429,2.7964,3.3045,3.5487,4.0501,4.1564,4.2577
3.5,1.9354,2.7665,3.2373,3.4606,3.9123,4.0086,4.1323
3.6,1.9354,2.7483,3.1709,3.3569,3.7546,3.8758,3.968
3.7,1.9229,2.7184,3.1169,3.2788,3.6466,3.7205,3.8459
3.8,1.9097,2.691,3.0505,3.175,3.537,3.5976,3.7047
3.9,1.8922,2.6528,2.9849,3.0771,3.4117,3.464,3.5727
4,1.8922,2.6337,2.9234,2.9774,3.2796,3.356,3.464
4.1,1.8814,2.5963,2.8612,2.8853,3.1833,3.2481,3.3477
4.2,1.8574,2.5697,2.8014,2.8163,3.0671,3.1136,3.2248
4.3,1.8358,2.5191,2.725,2.7333,2.9417,3.0339,3.1368
4.4,1.8283,2.4892,2.6428,2.6569,2.8529,2.9318,3.0422
