0,1,2,3,4,5,6,7
8.3,0.80289,0.99386,0.7921,0.70907,0.75141,0.66921,0.60445
8.4,0.8004,0.98306,0.78794,0.71156,0.7539,0.66423,0.61441
8.5,0.8004,0.96812,0.76968,0.70409,0.75141,0.6551,0.61026
8.6,0.7896,0.96314,0.7456,0.69578,0.74892,0.64763,0.61109
8.7,0.7896,0.95234,0.73148,0.6908,0.73315,0.66091,0.62438
8.8,0.78711,0.93574,0.73398,0.67419,0.73315,0.66506,0.62272
8.9,0.78711,0.93574,0.71986,0.67586,0.72733,0.65842,0.62687
9,0.78711,0.92411,0.71322,0.68084,0.73148,0.65676,0.65344
9.1,0.78462,0.91747,0.7099,0.69163,0.72235,0.68084,0.66755
9.2,0.78462,0.91083,0.70741,0.6991,0.72401,0.69246,0.66838
9.3,0.77134,0.89339,0.6991,0.70325,0.72816,0.71986,0.67752
9.4,0.77134,0.88509,0.6908,0.70325,0.71239,0.71073,0.66921
9.5,0.76054,0.87346,0.69578,0.68914,0.71654,0.6991,0.68001
9.6,0.76054,0.86516,0.6991,0.69412,0.71156,0.72401,0.70824
9.7,0.76054,0.87346,0.70325,0.69329,0.70409,0.73065,0.7099
9.8,0.7456,0.86018,0.69246,0.68333,0.7099,0.71986,0.71239
9.9,0.7456,0.85271,0.68997,0.67835,0.70575,0.72235,0.72069
10,0.73813,0.8444,0.68831,0.68167,0.71073,0.73065,0.71986
10.1,0.73813,0.84025,0.67835,0.67419,0.70658,0.74145,0.74726
10.2,0.72401,0.81783,0.67586,0.68333,0.70159,0.74643,0.77134
10.3,0.72401,0.80206,0.6825,0.67419,0.69661,0.74394,0.77134
10.4,0.7265,0.80206,0.68748,0.66921,0.72816,0.75224,0.78711
10.5,0.7265,0.79791,0.69329,0.65427,0.72235,0.76054,0.78628
10.6,0.71903,0.79376,0.69578,0.65593,0.71322,0.76221,0.78628
10.7,0.71903,0.77964,0.69744,0.64264,0.71322,0.76636,0.77549
10.8,0.71903,0.773,0.68665,0.6277,0.70492,0.75224,0.77964
10.9,0.71903,0.75473,0.6825,0.61607,0.71654,0.74975,0.78545
11,0.72152,0.74062,0.67835,0.63185,0.72567,0.75224,0.78545
11.1,0.72152,0.73896,0.67502,0.62936,0.72069,0.76636,0.80953
