cap,bottom,center,top
0.500000,0.800887,2.502773,4.204659
0.500000,5.205768,5.305879,5.405990
0.500000,10.011092,8.008874,6.006655
0.500000,7.207987,11.512756,15.817526
0.500000,5.606212,5.806434,6.006655
0.500000,8.609539,5.806434,3.003328
0.500000,7.207987,4.404881,1.601775
0.500000,3.003328,3.603993,4.204659
0.500000,8.008874,6.607321,5.205768
0.500000,7.207987,6.407099,5.606212
0.500000,5.806434,5.806434,5.806434
0.500000,6.006655,6.006655,6.006655
0.500000,7.608430,6.807543,6.006655
0.500000,4.404881,8.008874,11.612867
0.500000,7.808652,6.407099,5.005546
0.500000,8.609539,6.006655,3.403771
0.500000,5.205768,6.106766,7.007765
0.500000,5.606212,13.314753,21.023294
0.500000,4.004437,5.506101,7.007765
0.500000,7.007765,6.306988,5.606212
0.500000,6.006655,4.905435,3.804215
0.500000,5.405990,3.403771,1.401553
0.500000,1.001109,3.904326,6.807543
0.500000,12.013311,10.011092,8.008874
0.500000,5.806434,17.319190,28.831946
0.500000,4.204659,3.103439,2.002218
0.500000,6.607321,13.815308,21.023294
0.500000,6.006655,11.412645,16.818635
0.500000,5.606212,4.004437,2.402662
0.500000,2.202440,3.704104,5.205768
0.500000,3.003328,3.303661,3.603993
0.500000,13.615086,10.611758,7.608430
0.500000,6.607321,5.405990,4.204659
0.500000,3.203550,3.704104,4.204659
0.500000,5.405990,6.607321,7.808652
0.500000,2.602884,4.504992,6.407099
0.500000,4.805324,5.205768,5.606212
0.500000,5.205768,4.705213,4.204659
0.500000,5.005546,4.605103,4.204659
0.500000,6.006655,5.806434,5.606212
0.500000,4.404881,12.914309,21.423738
0.500000,5.205768,8.008874,10.811980
0.500000,1.201331,3.303661,5.405990
0.500000,3.203550,5.806434,8.409318
0.500000,5.806434,3.904326,2.002218
0.500000,6.407099,5.005546,3.603993
0.500000,6.407099,5.606212,4.805324
0.500000,14.415973,17.118968,19.821963
0.500000,2.202440,4.104548,6.006655
0.500000,5.205768,4.004437,2.803106
0.500000,3.403771,4.204659,5.005546
0.500000,3.403771,6.607321,9.810871
0.500000,1.801997,3.603993,5.405990
0.500000,7.408208,5.606212,3.804215
0.500000,5.606212,3.503882,1.401553
0.500000,3.203550,3.003328,2.803106
0.500000,5.005546,6.507210,8.008874
0.500000,2.002218,4.304770,6.607321
0.500000,6.006655,5.305879,4.605103
0.500000,8.609539,6.006655,3.403771
0.500000,8.409318,6.206877,4.004437
0.500000,6.807543,6.206877,5.606212
0.500000,5.238573,4.130413,3.022254
0.500000,6.245991,5.440056,4.634122
0.500000,0.000000,2.619286,5.238573
