11.7,0.61524,0.64763,0.60777,0.6908
11.8,0.61275,0.6443,0.6277,0.68582
11.9,0.60777,0.65261,0.62853,0.68001
12,0.62023,0.65925,0.62438,0.66091
12.1,0.62687,0.65344,0.61607,0.63268
12.2,0.63517,0.65261,0.61441,0.63185
12.3,0.64347,0.65925,0.62438,0.61857
12.4,0.66174,0.66008,0.62106,0.63185
12.5,0.65759,0.67253,0.63185,0.62604
12.6,0.68001,0.66672,0.63351,0.60528
12.7,0.68831,0.66921,0.61607,0.61773
12.8,0.69163,0.67336,0.60943,0.61524
12.9,0.68084,0.65759,0.61607,0.61773
13,0.68831,0.65676,0.63019,0.62687
13.1,0.67835,0.66589,0.6443,0.63185
13.2,0.66921,0.67004,0.6551,0.64015
13.3,0.69412,0.66257,0.65676,0.64264
13.4,0.67752,0.6634,0.6443,0.64763
13.5,0.67419,0.66423,0.66008,0.67669
13.6,0.67502,0.67253,0.66838,0.67502
13.7,0.68416,0.67087,0.69412,0.65261
13.8,0.68748,0.68167,0.70409,0.65261
13.9,0.68831,0.68665,0.69827,0.65012
14,0.69495,0.68167,0.69578,0.65925
14.1,0.71239,0.68084,0.68748,0.65261
14.2,0.69246,0.67419,0.6717,0.6277
14.3,0.70076,0.67669,0.66589,0.64264
14.4,0.69993,0.6717,0.6634,0.66755
14.5,0.69578,0.67502,0.65095,0.6717
14.6,0.70159,0.67586,0.64929,0.67419
14.7,0.69246,0.67253,0.64929,0.66755
14.8,0.68001,0.66672,0.65178,0.66672
14.9,0.67752,0.67419,0.63683,0.66174
15,0.68582,0.68001,0.64596,0.66838
15.1,0.69993,0.6825,0.64596,0.67752
15.2,0.69661,0.67253,0.6468,0.6717
15.3,0.71986,0.66838,0.64929,0.66838
15.4,0.70492,0.67918,0.66008,0.66589
15.5,0.69329,0.66838,0.66257,0.66174
15.6,0.6908,0.66589,0.65261,0.65925
15.7,0.68914,0.66174,0.66506,0.65925
15.8,0.68582,0.64763,0.65178,0.65759
15.9,0.68582,0.63434,0.65427,0.66423
16,0.68831,0.63102,0.64929,0.65925
16.1,0.68084,0.636,0.66672,0.63932
16.2,0.67419,0.63268,0.67835,0.63932
16.3,0.67918,0.63351,0.66921,0.65095
16.4,0.66672,0.63268,0.65759,0.63849
16.5,0.66257,0.63932,0.65427,0.64763
16.6,0.67004,0.64098,0.65427,0.65012
16.7,0.67835,0.64846,0.64015,0.64347
16.8,0.67669,0.65261,0.64015,0.6468
16.9,0.66838,0.65178,0.63766,0.65012
17,0.68416,0.64264,0.64846,0.65095
17.1,0.67253,0.6443,0.6551,0.66589
17.2,0.66506,0.65012,0.64264,0.63932
17.3,0.65759,0.6634,0.64846,0.64264
17.4,0.63268,0.67336,0.65344,0.64929
17.5,0.63517,0.67336,0.65759,0.65344
17.6,0.63849,0.66423,0.6468,0.63766
17.7,0.62853,0.65759,0.64264,0.64098
17.8,0.61773,0.66008,0.63683,0.64098
17.9,0.61275,0.67669,0.63185,0.65344
18,0.61358,0.67669,0.62023,0.66838
18.1,0.6194,0.68001,0.62521,0.67336
18.2,0.60445,0.66755,0.64264,0.67502
18.3,0.58867,0.66921,0.63849,0.66755
18.4,0.60362,0.67336,0.62687,0.65593
18.5,0.61192,0.66008,0.62853,0.65925
18.6,0.59615,0.6551,0.64264,0.65842
18.7,0.58951,0.65593,0.6277,0.6634
18.8,0.59532,0.65012,0.61773,0.6717
18.9,0.59864,0.65427,0.61441,0.6717
19,0.60694,0.63517,0.60611,0.67835
19.1,0.62687,0.62521,0.6086,0.67669
19.2,0.62272,0.62604,0.61857,0.6551
19.3,0.61192,0.63849,0.60777,0.6551
19.4,0.59449,0.636,0.63185,0.66672
19.5,0.592,0.63351,0.63351,0.65178
19.6,0.59117,0.62023,0.636,0.65178
19.7,0.60196,0.61275,0.65178,0.67253
19.8,0.60611,0.62023,0.63019,0.67752
19.9,0.61192,0.61773,0.64098,0.68084
20,0.60943,0.62438,0.64929,0.67586
20.1,0.60362,0.62189,0.63102,0.66174
20.2,0.6086,0.6003,0.64181,0.66506
20.3,0.59034,0.6086,0.64098,0.65676
20.4,0.59034,0.62521,0.65427,0.65095
20.5,0.58951,0.64098,0.64763,0.65759
20.6,0.59283,0.63019,0.65427,0.64846
20.7,0.57456,0.63102,0.63185,0.65427
20.8,0.56958,0.636,0.63019,0.66174
20.9,0.59449,0.64929,0.62272,0.65261
21,0.60694,0.6468,0.64347,0.64929
21.1,0.60362,0.65759,0.65261,0.65344
21.2,0.61192,0.6468,0.6443,0.65178
21.3,0.61192,0.6468,0.65261,0.63766
21.4,0.60279,0.64098,0.65095,0.65178
21.5,0.60196,0.64929,0.64098,0.63932
21.6,0.59283,0.64596,0.64098,0.6468
21.7,0.58867,0.65178,0.63351,0.65427
21.8,0.57705,0.64763,0.63683,0.64846
21.9,0.58452,0.63766,0.6468,0.64098
22,0.59366,0.64098,0.65427,0.65012
22.1,0.59283,0.63766,0.66174,0.64763
22.2,0.58951,0.63683,0.65759,0.65676
22.3,0.61607,0.63268,0.65178,0.65261
22.4,0.62604,0.63351,0.65925,0.63268
22.5,0.62355,0.62438,0.65427,0.63766
22.6,0.63351,0.60694,0.64929,0.62106
22.7,0.62355,0.61857,0.63517,0.62355
22.8,0.62438,0.61109,0.64098,0.60777
22.9,0.61773,0.62272,0.63849,0.61026
23,0.61857,0.63766,0.62853,0.62355
23.1,0.62106,0.63683,0.62604,0.63932
23.2,0.6086,0.64015,0.60445,0.64846
23.3,0.63102,0.6468,0.60943,0.62604
23.4,0.65261,0.64846,0.62106,0.63351
23.5,0.65012,0.66506,0.61607,0.63019
23.6,0.64596,0.66506,0.61441,0.6468
23.7,0.63932,0.67004,0.62521,0.65593
23.8,0.63517,0.66257,0.63766,0.65427
23.9,0.62272,0.66174,0.65178,0.64763
24,0.64098,0.65012,0.63766,0.64181
24.1,0.64181,0.64098,0.64347,0.64015
24.2,0.64264,0.63683,0.63683,0.64513
24.3,0.6443,0.64846,0.65842,0.65012
24.4,0.63766,0.65178,0.66423,0.65012
24.5,0.6468,0.6443,0.68001,0.66589
24.6,0.65012,0.63434,0.68084,0.67835
24.7,0.6551,0.64098,0.66589,0.68416
24.8,0.65427,0.63683,0.65344,0.69329
24.9,0.65095,0.64929,0.64513,0.68665
25,0.64929,0.63185,0.63434,0.67586
25.1,0.63019,0.64181,0.63185,0.6908
25.2,0.63185,0.64596,0.63849,0.68416
25.3,0.636,0.6443,0.62936,0.68582
25.4,0.64181,0.65178,0.636,0.68084
25.5,0.63019,0.64763,0.63351,0.67669
25.6,0.62189,0.63351,0.63102,0.68665
25.7,0.636,0.64015,0.62355,0.67835
25.8,0.6277,0.63517,0.61441,0.67502
25.9,0.63102,0.64929,0.61026,0.67502
26,0.63268,0.63766,0.60777,0.67586
26.1,0.62023,0.63517,0.61773,0.67336
26.2,0.6277,0.64181,0.60196,0.67419
26.3,0.61773,0.64596,0.59449,0.66921
26.4,0.62272,0.64015,0.61109,0.65344
26.5,0.62355,0.6468,0.62023,0.64098
26.6,0.61773,0.65178,0.62853,0.63683
26.7,0.636,0.63434,0.62853,0.62853
26.8,0.61441,0.63019,0.6194,0.62853
26.9,0.60279,0.63351,0.59615,0.63268
27,0.59615,0.60694,0.6086,0.62023
27.1,0.60113,0.61275,0.59615,0.63268
27.2,0.59698,0.61358,0.57124,0.63434
27.3,0.59615,0.63019,0.5646,0.62853
27.4,0.61607,0.63019,0.54135,0.63434
27.5,0.6169,0.61524,0.54218,0.63185
27.6,0.62355,0.61358,0.53886,0.63766
27.7,0.62604,0.6194,0.55546,0.62687
27.8,0.61524,0.60611,0.54633,0.63185
27.9,0.61441,0.60113,0.55712,0.62189
28,0.61358,0.60528,0.56128,0.6468
28.1,0.60694,0.60113,0.5646,0.6443
28.2,0.59864,0.60528,0.5455,0.6443
28.3,0.58618,0.60777,0.55214,0.66506
28.4,0.6003,0.60943,0.55878,0.66257
28.5,0.60777,0.58784,0.56128,0.66506
28.6,0.60362,0.57207,0.55048,0.6443
28.7,0.6169,0.58369,0.5646,0.636
28.8,0.60694,0.58701,0.57041,0.62438
28.9,0.60611,0.59283,0.58701,0.63268
29,0.60611,0.58701,0.58784,0.63434
29.1,0.61607,0.57705,0.59532,0.63102
29.2,0.61192,0.58701,0.592,0.64181
29.3,0.61607,0.58452,0.60528,0.63102
29.4,0.60279,0.58701,0.59698,0.62438
29.5,0.60279,0.59117,0.60943,0.62604
29.6,0.61441,0.61109,0.61773,0.62687
29.7,0.6277,0.62106,0.61441,0.62687
29.8,0.63766,0.62604,0.61026,0.62189
29.9,0.62687,0.62604,0.60694,0.60196
30,0.61773,0.63351,0.60362,0.61192
30.1,0.60694,0.61857,0.58701,0.61026
30.2,0.59283,0.60943,0.61192,0.61857
30.3,0.58535,0.60362,0.62853,0.62272
30.4,0.59034,0.59947,0.61524,0.63185
30.5,0.58535,0.61275,0.62189,0.62355
30.6,0.58618,0.59283,0.62023,0.62106
30.7,0.6003,0.59532,0.61275,0.61441
30.8,0.60196,0.59698,0.60279,0.61192
30.9,0.59781,0.59366,0.592,0.6169
31,0.60113,0.58452,0.59781,0.61524
31.1,0.59947,0.58452,0.60694,0.61607
31.2,0.58535,0.57705,0.59698,0.59947
31.3,0.57705,0.57207,0.60777,0.59947
31.4,0.58867,0.58286,0.62438,0.58618
31.5,0.58203,0.5812,0.62272,0.60777
31.6,0.57456,0.58701,0.6277,0.61109
31.7,0.59283,0.57788,0.63351,0.60196
31.8,0.57954,0.56875,0.64763,0.60196
