27.7,2.3041,2.4145
27.8,2.3041,2.4145
27.9,2.3041,2.4145
28,2.3041,2.4145
28.1,2.3041,2.4643
28.2,2.3041,2.4643
28.3,2.3041,2.4643
28.4,2.3041,2.4643
28.5,2.3472,2.4643
28.6,2.3472,2.5083
28.7,2.3472,2.5083
28.8,2.3472,2.5083
28.9,2.3472,2.5083
29,2.3472,2.5083
29.1,2.3472,2.5083
29.2,2.3921,2.5083
29.3,2.3921,2.5498
29.4,2.3921,2.5498
29.5,2.3921,2.5498
29.6,2.3921,2.5498
29.7,2.3921,2.5498
29.8,2.3921,2.5498
29.9,2.4377,2.5498
30,2.4377,2.5498
30.1,2.4377,2.5498
30.2,2.4377,2.5955
30.3,2.4377,2.5955
30.4,2.4377,2.5955
30.5,2.4834,2.5955
30.6,2.4834,2.5955
30.7,2.4834,2.5955
30.8,2.4834,2.6428
30.9,2.4834,2.6428
31,2.4834,2.6428
31.1,2.4834,2.6428
31.2,2.5291,2.6428
31.3,2.5291,2.6428
31.4,2.5291,2.6428
31.5,2.5291,2.6935
31.6,2.5291,2.6935
31.7,2.5291,2.6935
31.8,2.5291,2.6935
31.9,2.5291,2.6935
32,2.5291,2.6935
32.1,2.5747,2.6935
32.2,2.5747,2.7433
32.3,2.5747,2.7433
32.4,2.5747,2.7433
32.5,2.5747,2.7433
32.6,2.5747,2.7433
32.7,2.5747,2.7433
32.8,2.5747,2.7433
32.9,2.5747,2.7433
33,2.6171,2.7433
33.1,2.6171,2.7889
33.2,2.6171,2.7889
33.3,2.6171,2.7889
33.4,2.6171,2.7889
33.5,2.6171,2.7889
33.6,2.6171,2.7889
33.7,2.6171,2.7889
33.8,2.6171,2.7889
33.9,2.6602,2.7889
34,2.6602,2.8338
34.1,2.6602,2.8338
34.2,2.6602,2.8338
34.3,2.6602,2.8338
34.4,2.6602,2.8338
34.5,2.6602,2.8338
34.6,2.6602,2.8338
34.7,2.6602,2.8338
34.8,2.7084,2.8794
34.9,2.7084,2.8794
35,2.7084,2.8794
35.1,2.7084,2.8794
35.2,2.7084,2.8794
35.3,2.7084,2.8794
35.4,2.7084,2.8794
35.5,2.7084,2.8794
35.6,2.7566,2.8794
35.7,2.7566,2.9234
35.8,2.7566,2.9234
35.9,2.7566,2.9234
36,2.7566,2.9234
36.1,2.7566,2.9234
36.2,2.7566,2.9234
36.3,2.7566,2.9234
36.4,2.8014,2.9234
36.5,2.8014,2.9234
36.6,2.8014,2.9234
36.7,2.8014,2.9708
36.8,2.8014,2.9708
36.9,2.8014,2.9708
37,2.8014,2.9708
37.1,2.8014,2.9708
37.2,2.8014,2.9708
37.3,2.8471,2.9708
37.4,2.8471,2.9708
37.5,2.8471,2.9708
37.6,2.8471,3.0181
37.7,2.8471,3.0181
37.8,2.8471,3.0181
37.9,2.8471,3.0181
38,2.8471,3.0181
38.1,2.8936,3.0181
38.2,2.8936,3.0181
38.3,2.8936,3.0181
38.4,2.8936,3.0181
38.5,2.8936,3.0621
38.6,2.8936,3.0621
38.7,2.8936,3.0621
38.8,2.8936,3.0621
38.9,2.9392,3.0621
39,2.9392,3.0621
39.1,2.9392,3.0621
39.2,2.9392,3.0621
39.3,2.9392,3.0621
39.4,2.9392,3.0621
39.5,2.9392,3.1119
39.6,2.9392,3.1119
39.7,2.9865,3.1119
39.8,2.9865,3.1119
