time,len
Steady State,22.000000
Steady State,46.000000
Steady State,18.000000
Steady State,18.000000
Steady State,33.000000
Steady State,28.000000
Steady State,41.000000
Steady State,31.000000
Steady State,9.000000
Steady State,17.000000
Steady State,34.000000
Steady State,36.000000
Steady State,4.000000
Steady State,17.000000
Steady State,10.000000
Steady State,12.000000
Steady State,32.000000
Steady State,18.000000
Steady State,15.000000
Steady State,24.000000
Steady State,18.000000
Steady State,34.000000
Steady State,44.000000
Steady State,43.000000
Steady State,38.000000
Steady State,37.000000
Steady State,40.000000
Steady State,11.000000
Steady State,36.000000
Steady State,34.000000
Steady State,16.000000
Steady State,11.000000
Steady State,15.000000
Steady State,11.000000
Steady State,17.000000
Steady State,7.000000
Steady State,25.000000
Steady State,28.000000
Steady State,29.000000
Steady State,12.000000
Steady State,2.000000
Steady State,15.000000
Steady State,42.000000
Steady State,27.000000
Steady State,22.000000
Steady State,6.000000
Steady State,30.000000
Steady State,9.000000
Steady State,8.000000
Steady State,15.000000
Steady State,43.000000
Steady State,8.000000
Steady State,44.000000
Steady State,34.000000
Steady State,15.000000
Steady State,14.000000
Steady State,16.000000
Steady State,9.000000
Steady State,17.000000
Steady State,25.000000
Steady State,12.000000
Steady State,26.000000
Steady State,7.000000
Steady State,8.000000
Steady State,17.000000
Steady State,18.000000
Steady State,6.000000
Steady State,7.000000
Steady State,2.000000
Steady State,16.000000
Steady State,19.000000
Steady State,42.000000
Steady State,18.000000
Steady State,27.000000
Steady State,5.000000
Steady State,26.000000
Steady State,23.000000
Steady State,25.000000
Steady State,11.000000
Steady State,8.000000
Steady State,7.000000
Steady State,34.000000
Steady State,29.000000
Steady State,18.000000
Steady State,7.000000
Steady State,7.000000
Steady State,10.000000
Steady State,14.000000
Steady State,23.000000
Steady State,13.000000
Steady State,16.000000
Steady State,7.000000
Steady State,20.000000
Steady State,9.000000
Steady State,24.000000
Steady State,21.000000
Steady State,7.000000
Steady State,16.000000
Steady State,15.000000
Steady State,22.000000
Steady State,17.000000
Steady State,17.000000
Steady State,19.000000
Steady State,30.000000
