"k\textsubscript{b}\textsuperscript{on}\textsubscript{GDP, GTP}",k\textsubscript{b}\textsuperscript{off}\textsubscript{GDP},k\textsubscript{t}\textsuperscript{on}\textsubscript{GTP},k\textsubscript{t}\textsuperscript{off}\textsubscript{GDP},k\textsubscript{fragment}
10 \textmu M\textsuperscript{-1}s\textsuperscript{-1},6.5 s\textsuperscript{-1},1 \textmu M\textsuperscript{-1}s\textsuperscript{-1},6.5 s\textsuperscript{-1},10\textsuperscript{-4} s\textsuperscript{-1}
